Countries,Language,Population_(millions),IDH,Area_(sq_km),Average_Age,Life_Expectancy,Education_Index,Income_Index,Latitude,Longitude,iso_alpha
Canada,"English, French",37.7,0.929,9984670,41.8,82.3,0.915,0.93,56.1304,-106.3468,CAN
United States,English,331.4,0.926,9525067,38.5,78.9,0.896,0.917,37.0902,-95.7129,USA
Mexico,Spanish,126.2,0.767,1964375,28.3,75.1,0.761,0.755,23.6345,-102.5528,MEX
Brazil,Portuguese,213.9,0.759,8515767,33.5,75.9,0.724,0.751,-14.235,-51.9253,BRA
Argentina,Spanish,45.4,0.845,2780400,31.9,76.7,0.833,0.847,-38.4161,-63.6167,ARG
Colombia,Spanish,50.3,0.767,1141748,30.2,76.2,0.757,0.753,4.5709,-74.2973,COL
Peru,Spanish,32.5,0.777,1285216,30.4,76,0.752,0.747,-9.19,-75.0152,PER
Venezuela,Spanish,28.5,0.711,916445,29.6,73.1,0.745,0.71,6.4238,-66.5897,VEN
Chile,Spanish,19.1,0.851,756102,35.4,80.2,0.847,0.85,-35.6751,-71.543,CHL
Ecuador,Spanish,17.6,0.759,283561,28.1,76,0.728,0.753,-1.8312,-78.1834,ECU
Bolivia,Spanish,11.8,0.718,1098581,25.6,71.2,0.695,0.719,-16.2902,-63.5887,BOL
Paraguay,"Spanish, Guarani",7.3,0.695,406752,26.9,73.3,0.691,0.692,-23.4425,-58.4438,PRY
Uruguay,Spanish,3.5,0.817,176215,35.8,77.2,0.823,0.815,-32.5228,-55.7658,URY
Guyana,English,0.8,0.654,214969,26.2,70.1,0.662,0.654,4.8604,-58.9302,GUY
Suriname,Dutch,0.6,0.72,163820,29.9,72.2,0.694,0.696,3.9193,-56.0278,SUR
French Guiana,French,0.3,,83534,29.9,79.4,0.82,0.72,3.9339,-53.1258,GUF
Cuba,Spanish,11.3,,110861,41.9,79,0.737,0.736,21.5218,-77.7812,CUB
Haiti,"French, Haitian Creole",11.4,0.51,27750,23.2,64.2,0.392,0.51,18.9712,-72.2852,HTI
Dominican Republic,Spanish,10.7,0.736,48671,28.8,74.6,0.661,0.737,18.7357,-70.1627,DOM
Jamaica,English,2.9,0.732,10991,29.2,73.5,0.732,0.732,18.1096,-77.2975,JAM
Trinidad and Tobago,English,1.4,0.78,5130,36.2,72.1,0.72,0.788,10.6918,-61.2225,TTO
Barbados,English,0.3,0.807,430,38.2,79.4,0.829,0.807,13.1939,-59.5432,BRB
Bahamas,English,0.4,0.805,13878,32.1,74.6,0.758,0.805,25.0343,-77.3963,BHS
Belize,English,0.4,0.709,22966,25.9,74.1,0.73,0.709,17.1899,-88.4976,BLZ
Costa Rica,Spanish,5.1,0.81,51100,32.6,80.1,0.81,0.81,9.7489,-83.7534,CRI
El Salvador,Spanish,6.5,0.68,21041,27.9,73.6,0.65,0.68,13.7942,-88.8965,SLV
Guatemala,Spanish,17.7,0.65,108889,23.5,71.7,0.62,0.65,15.7835,-90.2308,GTM
Honduras,Spanish,9.7,0.617,112492,23.2,75.4,0.615,0.617,15.2,-86.2419,HND
Nicaragua,Spanish,6.7,0.66,130373,26.8,74.3,0.628,0.66,12.8654,-85.2072,NIC
Panama,Spanish,4.4,0.795,75417,30.5,77.5,0.765,0.795,8.538,-80.7821,PAN